review,label
"Received the product on time. Packaging was good and the item works as expected.",1
"The product quality is excellent. I have been using it for a week and no issues so far.",1
"Very satisfied with the purchase. Value for money and performs well.",1
"Battery backup is great and build quality feels premium.",1
"Totally worth the price. Would recommend to others.",1
"Product stopped working after 3 days. Very disappointed.",0
"Looks good in pictures but actual quality is very poor.",0
"Received a defective item. Had to return it immediately.",0
"Fake product. Not original as described by the seller.",0
"Waste of money. Performance is extremely bad.",0
"Delivery was quick and product matches description.",1
"Using it daily and no complaints. Works perfectly.",1
"Sound quality is amazing and very clear.",1
"Material feels cheap and not durable.",0
"Stopped working within a week. Very bad experience.",0
"Excellent performance and easy to use.",1
"Not satisfied with the product. Quality is below average.",0
"Seller sent wrong item. Very frustrating experience.",0
"Good product for this price range.",1
"Highly recommended for daily use.",1
"Buttons are not working properly. Seems defective.",0
"Product is decent but not as great as expected.",0
"Nice design and solid build quality.",1
"Received duplicate item instead of original.",0
"Very happy with the purchase. Will buy again.",1
"Heating issue after few minutes of usage.",0
"Compact design and easy to carry.",1
"Customer service was poor and unhelpful.",0
"Works smoothly without any lag.",1
"Not worth the price. Overhyped product.",0
"Product is genuine and performs well.",1
"Cheap plastic used. Feels very low quality.",0
"Setup was easy and user-friendly.",1
"Stopped charging after 2 days.",0
"Fast performance and reliable.",1
"Terrible packaging and damaged item received.",0
"Really impressed with the quality.",1
"Fake reviews misled me. Product is bad.",0
"Good battery life and quick charging.",1
"Very खराब quality, not recommended at all.",0